stationID,longitude,latitude
,degrees_east,degrees_north
IESWBWC020_0000_0200_MODELLED,-7.856441,51.93379
IESWBWC020_0000_0300_MODELLED,-7.856441,51.93379
IESWBWC040_0000_0100_MODELLED,-7.996101,51.85906
IESWBWC050_0000_0100_MODELLED,-8.289925,51.76348
IESWBWC090_0000_0200_MODELLED,-8.591008,51.63101
IESWBWC090_0000_0300_MODELLED,-8.591008,51.63101
IESWBWC100_0000_0100_MODELLED,-8.85168,51.58908
IESWBWC100_0000_0150_MODELLED,-8.85168,51.58908
IESWBWC110_0000_0100_MODELLED,-9.006891,51.55234
IESWBWC110_0000_0200_MODELLED,-8.976766,51.55581
IESWBWC150_0000_0100_MODELLED,-10.13798,51.74983
IESWBWC150_0000_0200_MODELLED,-9.77023,51.45523
IESWBWC200_0000_0100_MODELLED,-10.25641,51.81948
IESWBWC200_0000_0200_MODELLED,-10.20997,51.83126
IESWBWC220_0000_0100_MODELLED,-10.31058,51.96928
IESWBWC230_0000_0100_MODELLED,-10.36519,52.10146
IESWBWC230_0000_0200_MODELLED,-9.997983,52.13438
IESWBWC230_0000_0300_MODELLED,-9.98902,52.06644
IESWBWC230_0000_0400_MODELLED,-10.10293,52.02965
IESWBWC230_0000_0500_MODELLED,-10.29443,51.97975
IEWEBWC010_0000_0040_MODELLED,-10.1456,53.40683
IEWEBWC010_0000_0100_MODELLED,-9.765986,53.29916
IEWEBWC010_0000_0200_MODELLED,-9.757323,53.12112
IEWEBWC010_0000_0250_MODELLED,-9.51649,53.07054
IEWEBWC010_0000_0300_MODELLED,-9.347017,53.2326
IEWEBWC010_0000_0400_MODELLED,-9.280756,53.23758
IEWEBWC100_0000_0100_MODELLED,-9.214604,53.2425
IEWEBWC110_0000_0100_MODELLED,-9.145491,53.13919
IEWEBWC160_0000_0100_MODELLED,-8.99327,53.18015
IEWEBWC170_0000_0100_MODELLED,-9.11558,53.24977
IEWEBWC170_0000_0200_MODELLED,-9.082625,53.25217
IEWEBWC200_0000_0100_MODELLED,-9.610289,53.23217
IEWEBWC230_0000_0100_MODELLED,-9.969838,53.37181
IEWEBWC250_0000_0100_MODELLED,-10.19627,53.96384
IEWEBWC250_0000_0200_MODELLED,-10.0841,53.96301
IEWEBWC250_0000_0300_MODELLED,-10.02684,53.91035
IEWEBWC250_0000_0350_MODELLED,-9.904039,53.73768
IEWEBWC340_0000_0100_MODELLED,-9.94427,53.80192
IEWEBWC340_0000_0200_MODELLED,-9.771893,53.89106
IEWEBWC340_0000_0300_MODELLED,-9.768518,53.78615
IEWEBWC340_0000_0400_MODELLED,-9.833757,53.78137
IEWEBWC350_0000_0100_MODELLED,-9.670749,53.79319
IEWEBWC360_0000_0100_MODELLED,-10.06134,54.13444
IEWEBWC360_0000_0200_MODELLED,-10.10576,54.15917
IEWEBWC360_0000_0300_MODELLED,-10.01182,54.02525
IEWEBWC360_0000_0400_MODELLED,-10.01182,54.02525
IEWEBWC360_0000_0500_MODELLED,-9.98971,54.19591
IEWEBWC400_0000_0100_MODELLED,-9.849718,54.29924
IEWEBWC420_0000_0100_MODELLED,-9.127339,54.21799
IEWEBWC420_0000_0200_MODELLED,-9.189672,54.23267
IEWEBWC430_0000_0100_MODELLED,-8.547073,54.4148
IEWEBWC450_0000_0100_MODELLED,-8.589074,54.31822
IEWEBWC450_0000_0200_MODELLED,-8.721957,54.27217
IEWEBWT170_0700_0100_MODELLED,-9.049699,53.25456
IEWEBWT170_0700_0200_MODELLED,-9.032096,53.26563
IEWEBWT180_0100_0100_MODELLED,-9.313873,53.2351
